,CENTER,RADIUS,LEVEL
0,"113.26430659654461, 23.186617002654625",16006.39195504586,3.0
1,"113.39188103363318, 23.12961164199432",47611.25580717178,4.0
2,"113.26306543390075, 23.11685798928059",10137.205668208986,1.0
3,"113.304818322253, 23.374250817620215",70200.48321781016,6.0
4,"113.32267230879458, 23.131527655023195",9279.329878618768,2.0
5,"113.30927189921475, 23.020141068165135",56632.74211439541,5.0
